                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.77324,                0.50647,                 1.8432,                0.87295,                0.96598,                0.97327,                0.67339,                 1.9748,                 1.1651,                 2.4871,               0.005875,               0.005875,               0.005875
                    127,                 0.7819,                0.50946,                 1.8449,                0.87153,                0.96915,                0.97252,                0.67216,                 1.9777,                 1.1687,                 2.4888,               0.005842,               0.005842,               0.005842
                    128,                 0.7854,                0.50637,                  1.837,                0.87046,                0.96519,                0.97201,                0.67293,                 1.9758,                 1.1733,                 2.4848,               0.005809,               0.005809,               0.005809
                    129,                0.78171,                0.50842,                  1.841,                0.87085,                0.96756,                0.97221,                 0.6708,                 1.9795,                 1.1835,                 2.4892,               0.005776,               0.005776,               0.005776
                    130,                0.78147,                0.50606,                 1.8348,                0.86608,                0.96701,                 0.9703,                0.66892,                 1.9809,                 1.1845,                 2.4901,               0.005743,               0.005743,               0.005743
                    131,                0.77265,                0.50714,                 1.8419,                0.86684,                0.95792,                0.97001,                0.66826,                 1.9812,                 1.1844,                 2.4914,                0.00571,                0.00571,                0.00571
                    132,                0.77412,                0.50117,                 1.8365,                0.86855,                0.95807,                0.97172,                0.66929,                 1.9876,                 1.1897,                 2.4978,               0.005677,               0.005677,               0.005677
                    133,                0.77312,                0.50179,                 1.8351,                0.86655,                0.96044,                0.97123,                0.66975,                   1.99,                 1.1838,                 2.5018,               0.005644,               0.005644,               0.005644
                    134,                0.78281,                0.51226,                 1.8435,                0.86962,                0.96567,                0.97208,                0.67181,                 1.9894,                 1.1934,                 2.5035,               0.005611,               0.005611,               0.005611
                    135,                0.78039,                0.50093,                 1.8379,                0.86844,                0.96088,                0.97394,                0.67152,                 1.9903,                 1.1911,                 2.5056,               0.005578,               0.005578,               0.005578
                    136,                0.78197,                0.50398,                 1.8455,                0.86966,                0.96756,                0.97241,                0.67075,                 1.9926,                 1.1968,                 2.5109,               0.005545,               0.005545,               0.005545
                    137,                0.77573,                 0.5005,                 1.8339,                0.87332,                0.96835,                0.97277,                0.67049,                 1.9957,                 1.2073,                 2.5146,               0.005512,               0.005512,               0.005512
                    138,                0.77102,                0.50457,                 1.8377,                0.87365,                0.96677,                0.97278,                0.67209,                 1.9967,                 1.2012,                 2.5205,               0.005479,               0.005479,               0.005479
                    139,                0.77446,                0.50001,                 1.8372,                0.87555,                0.96677,                0.97349,                0.67238,                 1.9964,                 1.1964,                 2.5216,               0.005446,               0.005446,               0.005446
                    140,                0.76767,                0.49301,                 1.8337,                0.87391,                0.96506,                0.97264,                0.67187,                 1.9966,                 1.2115,                  2.521,               0.005413,               0.005413,               0.005413
                    141,                0.76635,                0.49616,                 1.8377,                0.87338,                0.97139,                0.97387,                0.67434,                 1.9968,                 1.2043,                 2.5225,                0.00538,                0.00538,                0.00538
                    142,                0.76056,                0.49253,                  1.825,                0.87331,                0.96915,                0.97398,                0.67511,                 1.9953,                  1.207,                 2.5156,               0.005347,               0.005347,               0.005347
                    143,                0.75542,                0.49037,                 1.8298,                0.87343,                0.96635,                0.97372,                0.67449,                 1.9959,                  1.213,                 2.5171,               0.005314,               0.005314,               0.005314
                    144,                0.75935,                0.48978,                 1.8259,                0.87271,                0.96598,                0.97418,                0.67538,                 1.9956,                 1.2137,                 2.5182,               0.005281,               0.005281,               0.005281
                    145,                0.75657,                0.49405,                 1.8273,                0.87265,                0.96123,                0.97364,                0.67416,                 1.9981,                 1.2179,                 2.5213,               0.005248,               0.005248,               0.005248
                    146,                  0.764,                0.49363,                 1.8302,                 0.8737,                0.96203,                 0.9721,                0.67344,                 1.9977,                 1.2154,                  2.521,               0.005215,               0.005215,               0.005215
                    147,                0.76335,                0.49254,                 1.8284,                0.87434,                0.96123,                0.97328,                0.67439,                 1.9973,                 1.2156,                 2.5233,               0.005182,               0.005182,               0.005182
                    148,                0.75756,                0.49143,                 1.8369,                  0.874,                0.96203,                0.97323,                0.67473,                 1.9978,                 1.2167,                 2.5236,               0.005149,               0.005149,               0.005149
                    149,                0.76401,                0.49135,                 1.8308,                0.87315,                0.96385,                0.97375,                0.67604,                 1.9982,                 1.2126,                 2.5222,               0.005116,               0.005116,               0.005116
                    150,                0.76152,                0.48873,                 1.8357,                 0.8714,                0.96495,                0.97288,                0.67414,                 1.9985,                   1.22,                 2.5226,               0.005083,               0.005083,               0.005083
                    151,                0.74237,                0.48714,                 1.8246,                0.87151,                0.96052,                0.97358,                0.67633,                 1.9995,                 1.2148,                 2.5247,                0.00505,                0.00505,                0.00505
                    152,                0.75026,                0.48793,                 1.8313,                0.87087,                0.96203,                0.97316,                0.67572,                 2.0006,                 1.2179,                 2.5285,               0.005017,               0.005017,               0.005017
